traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
3,1.8950306362573846e-05,0.0008672761053756862,3.66,63.03030303030303,-0.22924574473342976,9745294.418968722,0.18,2.16,1.8900000000000001,2.16,4.29,
13,2.8917939057193654e-06,0.0015845232195997386,4.29,43.03030303030303,0.1264591400920993,,0.54,3.09,2.73,3.09,3.66,3.9
39,2.5002642992627226e-05,0.0010305684414581304,3.69,60.0,0.09399849472126687,33717637.03158841,0.18,2.31,2.0100000000000002,2.31,4.5,
49,5.201262843457477e-06,0.0004027770335214441,3.93,55.15151515151515,-0.014844765450535318,1189717316.2382715,0.15,2.49,2.0100000000000002,2.49,3.06,
57,4.988584594007724e-05,0.0008701841682189813,4.5600000000000005,96.36363636363636,7.951832444494227,-98.73265174125203,0.06,0.39,0.21,0.39,3.15,
58,1.8561746204766224e-06,0.0009347982209719475,4.74,42.42424242424242,0.12860811252853316,,0.6,3.81,2.88,3.81,3.81,4.26
104,4.923600487052618e-06,0.0006273418234961068,4.26,40.0,-0.8219861457736806,,0.24,3.3000000000000003,2.73,3.3000000000000003,3.39,
108,3.0804515227832775e-05,0.0017437717317368403,4.98,70.3030303030303,0.04712590293288117,598937.4141904493,0.15,2.04,1.53,2.04,4.0200000000000005,
112,1.0146438579097597e-05,0.0006593288650883366,3.72,57.57575757575758,-0.3275878985393109,45939995.52791992,0.18,2.22,2.16,2.22,3.66,
136,2.2390914086282304e-05,0.0009543717746385283,3.63,65.45454545454545,-0.041499376259868416,5772357.459315071,0.15,2.16,1.77,2.16,4.29,
179,3.423055813867284e-05,0.0019659643001007487,4.98,70.3030303030303,-0.03629696196146904,591861.7159853654,0.15,2.04,1.53,2.04,4.0200000000000005,
183,6.363086302565198e-06,0.000498666661652316,3.99,52.121212121212125,0.00439460473697673,1587757153.0411777,0.18,2.52,2.43,2.52,3.09,
189,8.076362713680943e-05,0.0013798827869737605,4.5600000000000005,95.75757575757575,9.746549951809332,-93.3719908268759,0.06,0.42,0.27,0.42,3.24,
194,3.381432126842366e-05,0.0017340992784611133,4.89,72.12121212121212,-0.4352596509220416,74128.99124672302,0.12,1.95,1.44,1.95,4.0200000000000005,
195,1.1940870005440126e-06,0.00034085455776809747,4.98,53.93939393939394,0.13950496602688128,,0.36,2.7,2.34,2.7,2.7600000000000002,3.42
196,2.7875451977359043e-06,0.001042285543781342,4.62,38.78787878787879,0.0228562871529245,,0.6,3.66,2.85,3.66,3.63,3.9
197,2.5795753553686494e-06,0.0009533614393831022,4.68,38.18181818181818,0.028320498973913914,,0.57,3.72,2.88,3.72,3.69,3.93
208,6.65716282445106e-05,0.0012224853267945501,4.59,95.15151515151516,4.952646168558287,-91.8713258221446,0.06,0.48,0.3,0.48,3.15,
217,1.3557894430711193e-05,0.00045949009342248,4.74,81.21212121212122,-0.9462414115960439,1435.8590120499755,0.09,1.41,0.96,1.41,3.27,
225,1.929495461006808e-05,0.001012379911485574,4.86,71.51515151515152,-0.5551112643446007,86432.90023320833,0.12,1.95,1.47,1.95,3.93,
229,0.00017587104612805013,0.002725633209631302,4.5600000000000005,95.75757575757575,8.396511718143639,-90.87904056951234,0.06,0.45,0.27,0.45,3.24,
258,2.4060792744370192e-05,0.000998967977935019,3.63,65.45454545454545,-0.11317349556440294,4835135.360634712,0.15,2.16,1.77,2.16,4.29,
322,2.6687473754559028e-05,0.001093747020156992,3.66,63.03030303030303,0.09295105629757933,18589083.553044595,0.18,2.25,1.86,2.25,4.41,
389,4.3410076372634324e-05,0.0017594665005803622,4.7700000000000005,79.39393939393939,-0.24198681990240728,2893.807653848331,0.09,1.68,1.08,1.68,3.7800000000000002,
426,0.00014688151671386445,0.0032144936797456154,4.5600000000000005,90.3030303030303,2.075372025267651,-61.0289830548692,0.06,0.75,0.54,0.75,2.82,
447,1.378757481172792e-05,0.0010105830176684555,4.98,47.27272727272727,-0.09100285465902601,1822284042.8588703,0.27,3.0300000000000002,2.2800000000000002,3.0300000000000002,3.12,
464,1.8980046052898796e-06,0.0007413116474442133,4.32,46.06060606060606,0.19120507034871362,,0.6,3.75,2.7,3.75,3.72,4.44
477,4.990741804269234e-06,0.0013432504964353287,4.5,44.84848484848485,0.03474969614143924,,0.51,3.54,2.64,3.54,3.5100000000000002,3.75
573,8.408615946805394e-06,0.00038683863407191625,4.95,70.9090909090909,-1.3201252787518838,989312.6341775852,0.12,2.0100000000000002,1.47,2.0100000000000002,3.48,
605,2.3151460555693975e-06,0.0003747016530345472,4.98,53.93939393939394,0.194340085357994,,0.3,3.21,2.22,3.21,3.3000000000000003,3.9
609,2.423973035660478e-06,0.0011055418966178236,4.26,40.60606060606061,0.06871314028936953,,0.54,3.7800000000000002,2.79,3.7800000000000002,3.75,3.96
623,2.5691545283921412e-06,0.0004960038628652216,4.11,38.18181818181818,0.1989073583391953,,0.24,3.5100000000000002,2.7,3.5100000000000002,3.5100000000000002,
687,1.3675261888144185e-05,0.0006138062132247245,3.84,56.96969696969697,-0.006591754085474313,966297883.7418747,0.21,2.94,2.19,2.94,3.0300000000000002,
