=== beamsurrogate [run] run_id=p8_nondim model=mlp regime=teacher_forcing stabilizer=none dataset=simple_nondim features=['U'] ===
[mem] start: 0.58 Go
Loaded 2000 trajectories from /home/aph25/Code_GH/data/beam_dataset_simple_nondim.h5
Split distribution (from dataset):
  train : 1826 simulations (91.3 %)
  val   :   88 simulations (4.4 %)
  test  :   86 simulations (4.3 %)
[mem] after load_hdf5_dataset: 20.61 Go
[mem] after compute_norm_stats: 20.61 Go
MLP(
  (net): Sequential(
    (0): Linear(in_features=46, out_features=512, bias=True)
    (1): GELU(approximate='none')
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): GELU(approximate='none')
    (4): Linear(in_features=256, out_features=64, bias=True)
    (5): GELU(approximate='none')
    (6): Linear(in_features=64, out_features=3, bias=True)
  )
)
Parameters: 172,035
[mem] after make_dataloaders: 38.42 Go
[mem] after trimming df to test split: 19.80 Go
Epoch   95/100  --  data: 0.0000  |  val: 0.0000
Epoch   96/100  --  data: 0.0000  |  val: 0.0000
Epoch   97/100  --  data: 0.0000  |  val: 0.0000
Epoch   98/100  --  data: 0.0000  |  val: 0.0000
Epoch   99/100  --  data: 0.0000  |  val: 0.0000
Epoch  100/100  --  data: 0.0000  |  val: 0.0000
Best model reloaded -- minimum val: 0.000002
[mem] after training: 20.11 Go
[mem] after evaluate_one_step: 20.21 Go
[mem] after rollout + benchmark: 20.21 Go
