architecture,run_id,n_params,t_div_s,E_short,nn_flops,nn_time_med_ms,nn_time_std_ms,fd_flops,fd_time_med_ms,fd_time_std_ms,speedup_fd_over_nn
64,p4_arch_64,4610,1.47,4.334383602498299e-05,73612800.0,40.54475110024214,0.24032247291998937,353500.0,27.637482853606343,0.1610820708404649,0.6816537801718381
128,p4_arch_128,9218,2.2800000000000002,3.4078601736250415e-05,147225600.0,41.32602387107909,0.0859098953692055,353500.0,27.625660877674818,2.080080364239389,0.6684809785682745
256,p4_arch_256,18434,1.59,4.3289624781517793e-05,294451200.0,24.294072994962335,0.026126823534441394,353500.0,20.74728114530444,0.13177188255188585,0.8540058782900108
64+16,p4_arch_64_16,5554,3.15,1.5638239064352643e-05,88646400.0,24.19492695480585,0.08115020808610433,353500.0,20.73775907047093,0.07913837405423035,0.8571118693272921
128+32,p4_arch_128_32,13154,2.52,1.1427798717432868e-05,210470400.0,43.73773094266653,0.14034684188027655,353500.0,27.36834087409079,0.04209635682336619,0.6257375562067108
256+16,p4_arch_256_16,22066,3.27,1.4621683566556416e-05,353030400.0,44.79012009687722,0.09244117210068373,353500.0,27.326794108375907,0.026430955296527402,0.6101076319793378
128+64+16,p4_arch_128_64_16,18290,2.58,1.0684812090962193e-05,292896000.0,26.589591056108475,0.03726024775673198,353500.0,20.96977108158171,0.09040653935226459,0.7886458666224687
256+128+32,p4_arch_256_128_32,55010,4.92,9.214183076839023e-06,884390400.0,50.29668612405658,0.5734931783570569,353500.0,27.32642088085413,0.038400724960421,0.543304598904461
ridge (linear),p4_arch_ridge,140,0.63,9.489226918646903e-05,2235600.0,14.934847131371498,0.03563677450276095,353500.0,20.983758149668574,0.21421952770339728,1.405019948653575
