traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
196,3.110706522947602e-06,0.0006829756616753002,4.92,39.263803680981596,-8.352772259984556,,0.21,3.21,3.0,3.21,4.86,
197,3.1932631316512986e-06,0.0005563751192312338,4.38,36.809815950920246,-6.64243288702236,,0.21,4.14,3.0300000000000002,4.14,,
208,4.32998682818148e-05,0.0010086501656587643,4.5600000000000005,98.15950920245399,-14.26688749969761,-54.143300776151264,0.06,0.21,0.15,0.21,,
217,1.133923503370661e-05,0.00020521499709502677,3.72,77.30061349693251,-19.28686711548032,3935.0756224492516,0.21,0.51,0.33,0.51,,
225,1.5140046549943513e-05,0.00033477052602393087,2.07,54.60122699386503,-9.992268368457653,74225.23777443358,0.18,1.86,0.75,1.86,,
229,7.580880873198678e-05,0.0011760016896005254,4.59,98.15950920245399,-10.508388358038156,-62.34160755370074,0.06,0.15,0.15,0.15,,
258,2.108900144425334e-05,0.0003931344044758589,3.93,43.558282208588956,-8.318485797686868,32592028.304768372,0.18,2.58,0.96,2.58,,
322,2.5545738864046203e-05,0.0005165310799384315,2.67,39.877300613496935,-9.065526685372083,204508915.84067973,0.32999999999999996,2.64,0.96,2.64,,
389,3.760194220986061e-05,0.0006794499645366159,4.74,66.87116564417178,-9.543620135391352,6401.829768584771,0.09,0.6,0.51,0.6,,
426,8.469822618165328e-05,0.001511251583451667,3.39,94.47852760736197,-3.845981104416173,-15.150564753241621,0.15,0.33,0.24,0.33,,
447,1.1053499619275919e-05,0.0003835565371446137,4.47,63.80368098159509,-7.099092423181601,,0.21,,1.3800000000000001,,,
464,3.414071003807649e-06,0.0006170585384097649,4.89,28.834355828220858,-5.111550270570468,,0.27,4.08,3.12,4.08,4.74,
477,3.6563916847436544e-06,0.0008849279402056709,4.29,39.263803680981596,-6.406583230343705,,0.18,3.15,2.85,3.15,,
573,8.670833587080583e-06,0.00020562939971568994,3.93,69.93865030674847,-8.754380480398218,14921733.865992403,0.21,1.77,0.6900000000000001,1.77,,
605,3.7522034196473073e-06,0.0003695939699355222,4.59,30.061349693251532,-17.695074763323536,,0.3,3.84,3.3000000000000003,3.84,4.47,
609,3.2307631671316005e-06,0.0006087634301366052,4.92,38.65030674846626,-9.604331775158059,,0.21,3.24,3.0300000000000002,3.24,4.29,
623,3.1779377495765738e-06,0.000626234337232745,4.92,37.423312883435585,-22.786810659544877,,0.18,3.39,2.94,3.39,4.59,4.7700000000000005
687,1.3052259332767447e-05,0.000486940792598034,4.38,53.374233128834355,-11.927172025586778,,0.21,4.32,1.23,4.32,,
698,2.0224498505896097e-05,0.00036596606332750525,3.3000000000000003,95.70552147239263,-48.11142168531031,-35.38346402964461,0.09,0.33,0.24,0.33,3.15,
709,3.388511809894441e-06,0.0005106121129756502,4.38,40.49079754601227,-6.6077831858828695,,0.24,4.14,2.7600000000000002,4.14,4.29,
711,4.893076899494644e-05,0.00069820329516386,3.3000000000000003,87.73006134969326,-14.11151836944244,1357.362890034145,0.12,0.42,0.39,0.42,,
745,1.7983130692656716e-05,0.00046904068267394905,4.11,57.668711656441715,-13.759814384438863,1102813138.9179382,0.39,2.67,1.05,2.67,,
770,3.298535838071861e-06,0.00043395576540206093,4.86,31.901840490797547,-2.5805652163502995,,0.32999999999999996,4.11,3.3000000000000003,4.11,4.65,
815,3.6185109844502694e-06,0.000644812674181594,4.2,44.171779141104295,-11.425125007226349,,0.18,2.97,2.7600000000000002,2.97,4.7700000000000005,
824,1.904430211130636e-05,0.0004447610831448401,2.67,36.809815950920246,-7.6105262323553236,314251980.6559099,0.15,2.64,1.05,2.64,,
860,9.922865916686297e-05,0.001965418102372496,4.65,95.70552147239263,-18.444814054296423,-57.25450785066035,0.12,0.24,0.24,0.24,,
871,3.526598676570059e-06,0.0006715372273902176,4.92,44.171779141104295,-11.70711446742475,,0.18,3.0300000000000002,2.7600000000000002,3.0300000000000002,4.7700000000000005,
876,6.43875866493347e-06,0.0002221833610747126,4.92,72.39263803680981,-17.980964901364434,109373687.12776563,0.21,1.86,0.78,1.86,4.0200000000000005,
891,8.365560477866713e-06,0.000682446904193057,4.29,65.6441717791411,-8.71246290182941,,0.15,2.82,1.5,2.82,,
899,4.708773698319458e-06,0.0002998856143676676,4.47,55.828220858895705,-36.201336382199585,,0.42,2.94,0.96,2.94,4.0200000000000005,4.17
910,1.6725281801442824e-05,0.00042959736401826376,3.75,73.00613496932516,-17.405778862323963,67582.04000552192,0.21,1.77,0.6,1.77,,
944,6.820796530296218e-05,0.000760981668918248,4.86,91.41104294478528,-4.338254411920085,188.15048267949766,0.24,1.68,0.33,1.68,,
957,3.2204256800497036e-06,0.0005779412244919513,4.17,38.65030674846626,-5.098697607311062,,0.21,3.18,3.0300000000000002,3.18,,
961,5.447088169002871e-05,0.0013549950756015505,0.33,96.31901840490798,-35.5286472040327,-56.72611470952287,0.06,0.3,0.24,0.3,,
965,1.8820631229156214e-05,0.00048507197743674624,4.2,38.65030674846626,-11.48632284480077,1595954495.4529343,0.36,2.73,1.1400000000000001,2.73,,
971,3.5286590671658423e-06,0.000259835521774221,4.41,44.171779141104295,-18.195957720453364,,0.18,3.63,2.4,3.63,4.3500000000000005,
991,5.455659921606845e-06,0.0007382060352938424,4.74,61.96319018404908,-12.856481463741531,,0.18,2.88,1.59,2.88,,
1030,1.3966887826674844e-05,0.00027155392217537155,1.95,84.66257668711657,-14.197459825841408,10093.86033088417,0.15,0.6,0.51,0.6,,
1047,3.3865213206376413e-06,0.0002811220956573379,4.5600000000000005,45.39877300613497,-18.186658916807797,,0.32999999999999996,2.94,2.13,2.94,4.29,4.62
1072,1.1273643492199798e-05,0.0004945264072375721,3.75,74.23312883435582,-27.98786781304389,45925.34372289068,0.24,0.6,0.51,0.6,3.72,
1082,4.8787152342482446e-06,0.0002364982055951259,4.29,45.39877300613497,-15.954519360709705,,0.24,4.14,1.32,4.14,,
1085,3.256544994481658e-06,0.0006459095966420136,4.89,34.355828220858896,-5.251952343125866,,0.27,4.05,3.09,4.05,4.7700000000000005,
1087,2.9383062377866585e-06,0.0005787790641988977,4.74,41.717791411042946,-18.266062645557643,,0.24,3.33,1.68,3.33,4.59,4.8
1091,1.113823655817299e-05,0.00026697250354335445,3.54,85.2760736196319,-17.100378372577584,11720.48951229413,0.15,0.6,0.48,0.6,,
1110,3.296176136502962e-06,0.0006254780423660122,4.47,41.104294478527606,-3.8207657496559873,,0.27,3.66,2.4,3.66,3.75,
1118,3.204777948297353e-06,0.000585585938551958,4.92,34.355828220858896,-6.756784010051453,,0.24,4.05,3.0300000000000002,4.05,4.89,
1178,1.0291496371101853e-05,0.0003992457936874416,4.38,60.736196319018404,-9.471589486693846,,0.24,2.91,1.29,2.91,,
1186,5.262468334898306e-06,0.0003459955396465375,4.38,57.05521472392638,-17.973890967164337,,0.36,2.97,1.32,2.97,4.29,
1192,8.453116105046164e-06,0.00046646472128486494,4.89,69.93865030674847,-7.771973852358156,,0.15,3.0,1.32,3.0,,
1197,2.4971115304167922e-05,0.0003974802084485418,2.5500000000000003,39.263803680981596,-7.964497162141704,17275531.821655083,0.15,,0.93,,,
1237,5.856596947490644e-06,0.0003813693720076117,4.5600000000000005,62.576687116564415,-9.804794625354573,,0.15,4.5,1.5,4.5,,
1280,4.856908832268594e-06,0.0001848418442023103,4.65,68.09815950920246,-3.610943377834708,,0.27,3.18,1.1400000000000001,3.18,3.42,
1281,4.078772203087749e-06,0.0005632729844364803,4.92,30.67484662576687,-4.580556175660983,,0.27,4.2,2.85,4.2,4.23,
1334,5.510116755228665e-06,0.0006776014106435468,4.38,61.34969325153374,-9.761652208761948,,0.18,2.82,1.68,2.82,,
1395,5.933828610143754e-06,0.0002780441536742728,4.92,78.52760736196319,-22.76512367884601,,0.21,1.23,1.11,1.23,3.15,4.92
1412,4.183624517056133e-05,0.0007920544626358605,3.48,92.02453987730061,-14.954585873629068,70.8755592557,0.09,0.33,0.24,0.33,,
1413,0.00011620300505633773,0.0017371554499732156,4.92,93.25153374233129,-0.1463233141421562,78.59284649301875,0.21,0.33,0.33,0.33,4.92,
1422,1.871923373930129e-05,0.0005708330863853917,4.68,96.31901840490798,-21.73326208365229,-17.1761289090162,0.09,0.24,0.21,0.24,4.11,
1429,2.6183894811500876e-05,0.00048667017836123705,4.83,71.77914110429448,-10.990776549061696,112835.42836554375,0.12,1.77,0.78,1.77,,
1485,4.129141198818077e-06,0.0008876576866896357,4.92,42.331288343558285,-16.7560347390418,,0.24,2.94,2.7600000000000002,2.94,4.92,
1499,3.8024875694701043e-06,0.0003244353329137084,4.53,53.987730061349694,-37.767213876748265,,0.36,3.15,1.05,3.15,4.08,4.23
1565,5.715037261469387e-06,0.0005798315960419131,4.65,61.96319018404908,-12.38563875372977,,0.18,2.88,1.59,2.88,,
1602,5.810451404002426e-06,0.00020779292344741407,4.29,63.190184049079754,-21.20022007983015,159246605.24659392,0.42,0.96,0.78,0.96,3.9,
1629,5.2200599722957e-06,0.00044279688881943,4.83,61.34969325153374,-17.715356811300424,,0.39,3.09,1.3800000000000001,3.09,4.32,
1640,1.1072492735620597e-05,0.00029960859819766483,4.11,44.171779141104295,-11.829121711723962,508182793.6081047,0.44999999999999996,2.64,1.1400000000000001,2.64,,
1651,7.927273220581234e-06,0.0006801288081987877,4.29,65.03067484662577,-6.515940525554428,,0.18,3.21,1.5,3.21,,
1728,2.427709845838339e-05,0.00047060136967047583,3.75,29.447852760736197,-4.915377185684669,1599603763.5834289,0.27,,1.1400000000000001,,,
1732,9.872024837739422e-06,0.0002283922940478078,3.54,26.993865030674847,-3.013216483865452,64012747.457103446,0.15,3.5100000000000002,0.96,3.5100000000000002,,
1739,3.360734309020786e-06,0.0006808110124438826,4.92,41.717791411042946,-8.774987942506673,,0.18,3.0300000000000002,2.82,3.0300000000000002,,
1750,1.1682285617999732e-05,0.00024637661317683524,3.66,20.245398773006134,-1.94393717920428,472872905.1623969,0.15,,2.31,,,
1797,1.1945751826650408e-05,0.00045700152577410336,4.47,53.987730061349694,-10.983361495869023,,0.21,4.3500000000000005,1.29,4.3500000000000005,,
1813,1.432026215405902e-05,0.0006071907682780875,3.42,63.80368098159509,-9.174114944715905,,0.15,3.0300000000000002,1.32,3.0300000000000002,,
1843,1.714648296617703e-05,0.00036104434957451303,2.58,26.993865030674847,-5.993117481055478,51438871.24239362,0.18,,0.96,,,
1854,7.157136585904546e-06,0.0003196703728463035,4.47,63.80368098159509,-9.672445720169094,,0.21,3.24,1.3800000000000001,3.24,,
1859,3.2135878407939146e-06,0.0006000890525683644,4.47,38.03680981595092,-7.152732901982007,,0.18,3.5700000000000003,3.0300000000000002,3.5700000000000003,4.38,
1863,3.5604855800754357e-06,0.00022000594708515564,4.65,60.736196319018404,-26.810120698758364,,0.36,2.67,1.05,2.67,4.26,4.41
1875,1.821018902690948e-05,0.0005019940508645959,4.74,60.736196319018404,-11.954760429876503,5853.416545054796,0.12,1.86,0.5700000000000001,1.86,,
1877,1.2902501746982323e-05,0.00047549760711262934,3.12,63.190184049079754,-7.3730071547494385,,0.15,3.12,1.32,3.12,,
1885,3.6134467348171775e-06,0.0005070346687716665,4.92,39.877300613496935,-1.4175557138457564,,0.39,4.08,2.13,4.08,4.14,
1887,3.433506301556004e-05,0.0005149720686858927,4.92,73.00613496932516,-6.346062637199884,537.232694371318,0.24,0.51,0.42,0.51,,
1899,2.7467436060922427e-05,0.0005027270863138256,4.62,96.31901840490798,-6.513277531116221,-20.942507041720045,0.06,0.3,0.24,0.3,,
1935,6.099798385151901e-06,0.0003505627864797134,4.5600000000000005,53.374233128834355,-24.50903743235342,,0.39,3.5100000000000002,1.2,3.5100000000000002,4.14,
1973,4.07734997794558e-06,0.0006008746977386181,4.74,59.50920245398773,-16.30919235141479,,0.15,3.27,1.59,3.27,4.65,
1974,3.0072947438936525e-05,0.0006113055874266138,4.92,60.736196319018404,-8.081224935731763,3956.0993673630373,0.09,0.51,0.51,0.51,,
