traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
9,2.6207372874689677e-05,0.004966593743192834,4.65,73.78048780487805,-4.420934736091327,7007458.942399972,0.44999999999999996,1.41,1.26,1.41,1.5,1.74
11,5.271059800431323e-06,0.0020831460033440582,4.89,70.1219512195122,-43.91333831479147,,0.39,1.62,1.5,1.62,1.74,1.86
24,9.246944064294989e-05,0.0064753468859653435,4.41,78.65853658536585,13.120784604278217,3636.5646580565285,0.42,1.23,0.99,1.23,1.47,1.68
32,3.752598307037646e-05,0.0053174270042423925,4.59,74.39024390243902,-14.08323290387597,14519135.810293349,0.36,1.47,1.32,1.47,1.71,2.0100000000000002
35,7.4849565739491295e-06,0.00543082573434949,4.95,65.85365853658537,12.002330536726921,24674903283.335773,0.39,1.77,1.6500000000000001,1.77,1.86,2.0100000000000002
51,6.547085246331644e-05,0.002338907449577135,2.67,95.73170731707317,14.807001059289169,407.08598855439584,0.42,0.63,0.21,0.63,1.08,1.32
52,4.75370202938433e-06,0.012526495327419167,3.99,61.58536585365854,-23.98668987387351,,0.63,2.0100000000000002,1.86,2.0100000000000002,1.98,2.22
142,6.0422493142378555e-05,0.006679279181661857,4.38,78.04878048780488,-3.3098113566003713,511278.7745753677,0.48,1.32,1.08,1.32,1.44,2.1
143,0.00012234575566805138,0.004315288714487198,4.05,89.02439024390245,-22.721929481504734,54.156909666992824,0.15,0.78,0.45,0.78,1.1400000000000001,1.3800000000000001
211,4.946977823294993e-05,0.005147744012575581,4.3500000000000005,75.60975609756098,-1.7162990603736932,158820.1523286676,0.3,1.3800000000000001,1.1400000000000001,1.3800000000000001,1.5,1.86
275,2.7470183894798126e-06,0.0036366143239677366,3.99,62.19512195121951,-14.763964329580475,,0.44999999999999996,1.92,1.8,1.92,1.95,2.16
361,1.039456158758424e-05,0.005972054505920217,4.7700000000000005,70.1219512195122,-20.858646272721263,399420221.01987284,0.3,1.68,1.47,1.68,1.68,2.16
369,8.333025785771914e-05,0.006522773528698953,4.95,77.4390243902439,3.9248588834844234,775.1868685010429,0.3,1.3800000000000001,1.02,1.3800000000000001,1.74,2.1
390,3.921202676050016e-05,0.004281173745376567,4.53,76.82926829268293,-1.553068817935599,1935020.2658493666,0.3,1.32,1.2,1.32,1.44,1.68
407,2.582186363116622e-05,0.005937776431812011,4.3500000000000005,72.5609756097561,-3.8856738332307477,15147517.061859742,0.54,1.5,1.29,1.5,1.62,1.8900000000000001
