regime,traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
Pushforward,711,4.893076899494644e-05,0.00069820329516386,3.3000000000000003,87.73006134969326,-14.11151836944244,1357.362890034145,0.12,0.42,0.39,0.42,,
Pushforward,745,1.7983130692656716e-05,0.00046904068267394905,4.11,57.668711656441715,-13.759814384438863,1102813138.9179382,0.39,2.67,1.05,2.67,,
Pushforward,770,3.298535838071861e-06,0.00043395576540206093,4.86,31.901840490797547,-2.5805652163502995,,0.32999999999999996,4.11,3.3000000000000003,4.11,4.65,
Pushforward,815,3.6185109844502694e-06,0.000644812674181594,4.2,44.171779141104295,-11.425125007226349,,0.18,2.97,2.7600000000000002,2.97,4.7700000000000005,
Pushforward,824,1.904430211130636e-05,0.0004447610831448401,2.67,36.809815950920246,-7.6105262323553236,314251980.6559099,0.15,2.64,1.05,2.64,,
Pushforward,860,9.922865916686297e-05,0.001965418102372496,4.65,95.70552147239263,-18.444814054296423,-57.25450785066035,0.12,0.24,0.24,0.24,,
Pushforward,871,3.526598676570059e-06,0.0006715372273902176,4.92,44.171779141104295,-11.70711446742475,,0.18,3.0300000000000002,2.7600000000000002,3.0300000000000002,4.7700000000000005,
Pushforward,876,6.43875866493347e-06,0.0002221833610747126,4.92,72.39263803680981,-17.980964901364434,109373687.12776563,0.21,1.86,0.78,1.86,4.0200000000000005,
Pushforward,891,8.365560477866713e-06,0.000682446904193057,4.29,65.6441717791411,-8.71246290182941,,0.15,2.82,1.5,2.82,,
Pushforward,899,4.708773698319458e-06,0.0002998856143676676,4.47,55.828220858895705,-36.201336382199585,,0.42,2.94,0.96,2.94,4.0200000000000005,4.17
Pushforward,910,1.6725281801442824e-05,0.00042959736401826376,3.75,73.00613496932516,-17.405778862323963,67582.04000552192,0.21,1.77,0.6,1.77,,
Pushforward,944,6.820796530296218e-05,0.000760981668918248,4.86,91.41104294478528,-4.338254411920085,188.15048267949766,0.24,1.68,0.33,1.68,,
Pushforward,957,3.2204256800497036e-06,0.0005779412244919513,4.17,38.65030674846626,-5.098697607311062,,0.21,3.18,3.0300000000000002,3.18,,
Pushforward,961,5.447088169002871e-05,0.0013549950756015505,0.33,96.31901840490798,-35.5286472040327,-56.72611470952287,0.06,0.3,0.24,0.3,,
Pushforward,965,1.8820631229156214e-05,0.00048507197743674624,4.2,38.65030674846626,-11.48632284480077,1595954495.4529343,0.36,2.73,1.1400000000000001,2.73,,
