=== beamsurrogate [run] run_id=p4_cnn model=cnn regime=teacher_forcing stabilizer=none dataset=simple features=['U'] ===
[mem] start: 0.58 Go
Loaded 2000 trajectories from /home/aph25/Code_GH/data/beam_dataset_simple.h5
Split distribution (from dataset):
  train : 1817 simulations (90.8 %)
  val   :   84 simulations (4.2 %)
  test  :   99 simulations (5.0 %)
[mem] after load_hdf5_dataset: 20.61 Go
[mem] after compute_norm_stats: 20.61 Go
ConvNet(
  (conv): Sequential(
    (0): Conv1d(2, 16, kernel_size=(5,), stride=(1,), padding=(2,))
    (1): ReLU()
    (2): Conv1d(16, 32, kernel_size=(5,), stride=(1,), padding=(2,))
    (3): ReLU()
  )
  (head): Sequential(
    (0): Linear(in_features=736, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=3, bias=True)
  )
)
Parameters: 26,451
[mem] after make_dataloaders: 38.33 Go
[mem] after trimming df to test split: 19.80 Go
Epoch   94/100  --  data: 0.0000  |  val: 0.0001
Epoch   95/100  --  data: 0.0000  |  val: 0.0001
Epoch   96/100  --  data: 0.0000  |  val: 0.0001
Epoch   97/100  --  data: 0.0000  |  val: 0.0001
Epoch   98/100  --  data: 0.0000  |  val: 0.0001
Epoch   99/100  --  data: 0.0000  |  val: 0.0001
Epoch  100/100  --  data: 0.0000  |  val: 0.0001
Best model reloaded -- minimum val: 0.000054
[mem] after training: 20.09 Go
[mem] after evaluate_one_step: 20.20 Go
[mem] after rollout + benchmark: 20.20 Go
Done -- outputs in /home/aph25/Code_GH/runs/p4_cnn
RUN DONE: configs/runs/p4_cnn.yaml
