,t_div,E_short,time_s,max_abs_diff_vs_f64
Network f32,3.84,1.3089428268535652e-05,0.037784770131111145,
Network f64 : ref,3.84,1.3089422541967584e-05,0.05792726995423436,
Solver f64 : ref,,,0.021636280929669738,
Solver f32,,,0.02124630194157362,9.568249220714975e-09
