N    , fd_time_med         , nn_time_med        , fd_flops, nn_flops    , flop_ratio        , time_ratio
  200, 0.0077243831474334  ,  0.7925917010288686,   703500,   8999270400, 12792.13987206823 , 102.60906093093335
 1000, 0.012160257901996374,  1.5153821830172092,  3503500,  44996352000, 12843.257314114457, 124.61760229348637
 5000, 0.03210152988322079 ,  4.187497741077095 , 17503500, 224981760000, 12853.52986545548 , 130.44542600649902
20000, 0.13347260002046824 , 19.58940430218354  , 70003500, 899927040000, 12855.457798538644, 146.76723386807083
