=== beamsurrogate [run] run_id=p3_pinn_0 model=mlp regime=pushforward stabilizer=none dataset=simple features=['U'] ===
[mem] start: 0.58 Go
Loaded 2000 trajectories from /home/aph25/Code_GH/data/beam_dataset_simple.h5
Split distribution (from dataset):
  train : 1817 simulations (90.8 %)
  val   :   84 simulations (4.2 %)
  test  :   99 simulations (5.0 %)
[mem] after load_hdf5_dataset: 28.96 Go
[mem] after compute_norm_stats: 28.96 Go
MLP(
  (net): Sequential(
    (0): Linear(in_features=69, out_features=512, bias=True)
    (1): GELU(approximate='none')
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): GELU(approximate='none')
    (4): Linear(in_features=256, out_features=64, bias=True)
    (5): GELU(approximate='none')
    (6): Linear(in_features=64, out_features=2, bias=True)
  )
)
Parameters: 183,746
[mem] after make_dataloaders: 54.62 Go
[mem] after trimming df to test split: 28.18 Go
Epoch   47/100  --  data: 0.0017  |  pushforward: 0.0182  |  physics: 0.0000  |  comparable loss (val): 0.0468
Epoch   48/100  --  data: 0.0019  |  pushforward: 0.0205  |  physics: 0.0000  |  comparable loss (val): 0.0034
Epoch   49/100  --  data: 0.0017  |  pushforward: 0.0198  |  physics: 0.0000  |  comparable loss (val): 0.0064
Epoch   50/100  --  data: 0.0019  |  pushforward: 0.0215  |  physics: 0.0000  |  comparable loss (val): 0.0111
Epoch   51/100  --  data: 0.0018  |  pushforward: 0.0200  |  physics: 0.0000  |  comparable loss (val): 0.0058
Epoch   52/100  --  data: 0.0017  |  pushforward: 0.0181  |  physics: 0.0000  |  comparable loss (val): 0.0103
Epoch   53/100  --  data: 0.0016  |  pushforward: 0.0177  |  physics: 0.0000  |  comparable loss (val): 0.0237
Epoch   54/100  --  data: 0.0016  |  pushforward: 0.0173  |  physics: 0.0000  |  comparable loss (val): 0.0044
Epoch   55/100  --  data: 0.0016  |  pushforward: 0.0172  |  physics: 0.0000  |  comparable loss (val): 0.0304
Epoch   56/100  --  data: 0.0016  |  pushforward: 0.0168  |  physics: 0.0000  |  comparable loss (val): 0.0453
Epoch   57/100  --  data: 0.0015  |  pushforward: 0.0153  |  physics: 0.0000  |  comparable loss (val): 0.0177
Epoch   58/100  --  data: 0.0017  |  pushforward: 0.0176  |  physics: 0.0000  |  comparable loss (val): 0.0068
Epoch   59/100  --  data: 0.0016  |  pushforward: 0.0170  |  physics: 0.0000  |  comparable loss (val): 2.2930
Epoch   60/100  --  data: 0.0016  |  pushforward: 0.0174  |  physics: 0.0000  |  comparable loss (val): 0.0041
Epoch   61/100  --  data: 0.0015  |  pushforward: 0.0153  |  physics: 0.0000  |  comparable loss (val): 0.0023
Epoch   62/100  --  data: 0.0016  |  pushforward: 0.0163  |  physics: 0.0000  |  comparable loss (val): 0.0145
Epoch   63/100  --  data: 0.0017  |  pushforward: 0.0178  |  physics: 0.0000  |  comparable loss (val): 0.0289
Epoch   64/100  --  data: 0.0016  |  pushforward: 0.0161  |  physics: 0.0000  |  comparable loss (val): 0.0084
Epoch   65/100  --  data: 0.0017  |  pushforward: 0.0192  |  physics: 0.0000  |  comparable loss (val): 0.0062
Epoch   66/100  --  data: 0.0017  |  pushforward: 0.0211  |  physics: 0.0000  |  comparable loss (val): 0.0029
